WP, 24, 2013101300,   , BEST,   0, 152N, 1146E,  80,  963, TY,  50, NEQ,   60,   45,   45,   60, 1004,  220,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101300,   , BEST,   0, 152N, 1146E,  80,  963, TY,  64, NEQ,   35,   30,   30,   35, 1004,  220,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101306,   , BEST,   0, 153N, 1137E,  80,  963, TY,  34, NEQ,  100,   90,  120,  120, 1004,  220,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101306,   , BEST,   0, 153N, 1137E,  80,  963, TY,  50, NEQ,   60,   45,   45,   60, 1004,  220,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101306,   , BEST,   0, 153N, 1137E,  80,  963, TY,  64, NEQ,   35,   30,   30,   35, 1004,  220,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101312,   , BEST,   0, 154N, 1129E,  80,  963, TY,  34, NEQ,  100,   90,  120,  120, 1004,  220,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101312,   , BEST,   0, 154N, 1129E,  80,  963, TY,  50, NEQ,   60,   45,   45,   60, 1004,  220,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101312,   , BEST,   0, 154N, 1129E,  80,  963, TY,  64, NEQ,   35,   30,   30,   35, 1004,  220,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101318,   , BEST,   0, 155N, 1120E,  80,  963, TY,  34, NEQ,  110,  130,  140,  140, 1005,  210,  20,   0,   0, 
WP, 24, 2013101318,   , BEST,   0, 155N, 1120E,  80,  963, TY,  50, NEQ,   60,   85,   85,   55, 1005,  210,  20,   0,   0, 
WP, 24, 2013101318,   , BEST,   0, 155N, 1120E,  80,  963, TY,  64, NEQ,   35,   35,   35,   35, 1005,  210,  20,   0,   0, 
WP, 24, 2013101400,   , BEST,   0, 158N, 1115E,  80,  963, TY,  34, NEQ,  110,  130,  130,  130, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101400,   , BEST,   0, 158N, 1115E,  80,  963, TY,  50, NEQ,   60,   80,   75,   55, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101400,   , BEST,   0, 158N, 1115E,  80,  963, TY,  64, NEQ,   35,   35,   35,   35, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101406,   , BEST,   0, 159N, 1107E,  80,  963, TY,  34, NEQ,  145,  130,  140,  145, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101406,   , BEST,   0, 159N, 1107E,  80,  963, TY,  50, NEQ,   50,   45,   60,   60, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101406,   , BEST,   0, 159N, 1107E,  80,  963, TY,  64, NEQ,   30,   25,   30,   35, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101412,   , BEST,   0, 160N, 1101E,  80,  963, TY,  34, NEQ,  145,  130,  140,  145, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101412,   , BEST,   0, 160N, 1101E,  80,  963, TY,  50, NEQ,   50,   45,   60,   60, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101412,   , BEST,   0, 160N, 1101E,  80,  963, TY,  64, NEQ,   30,   25,   30,   35, 1005,  210,  15,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101418,   , BEST,   0, 160N, 1090E,  75,  967, TY,  34, NEQ,  130,  115,  120,  135, 1005,  210,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101418,   , BEST,   0, 160N, 1090E,  75,  967, TY,  50, NEQ,   45,   45,   55,   55, 1005,  210,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101418,   , BEST,   0, 160N, 1090E,  75,  967, TY,  64, NEQ,   30,   30,   35,   35, 1005,  210,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101500,   , BEST,   0, 158N, 1080E,  65,  974, TY,  34, NEQ,  115,  100,   90,  100, 1004,  195,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101500,   , BEST,   0, 158N, 1080E,  65,  974, TY,  50, NEQ,   45,   45,   45,   45, 1004,  195,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101500,   , BEST,   0, 158N, 1080E,  65,  974, TY,  64, NEQ,   25,   25,   25,   25, 1004,  195,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, D, 
WP, 24, 2013101506,   , BEST,   0, 153N, 1070E,  60,  978, TS,  34, NEQ,  115,  100,   90,  100, 1004,  160,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, M, 
WP, 24, 2013101506,   , BEST,   0, 153N, 1070E,  60,  978, TS,  50, NEQ,   45,   45,   45,   45, 1004,  160,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, M, 
WP, 24, 2013101512,   , BEST,   0, 150N, 1057E,  45,  989, TS,  34, NEQ,  115,  100,   90,  100, 1004,  155,  20,   0,   0,   W,   0,    ,   0,   0,       NARI, M, 
